a,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52322348,PANORAMIC  VIEW TO ACROPOLIS AND LYCABETTUS,155516285,Ελευθερία,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95935,23.73604,Entire home/apt,40,6,1,07-11-2021,0.64,2,144,1,1350785
52330447,Fos Residential Apartment - Senior Apartment,423533878,Fos Residential Apartments,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.973675,23.729979,Private room,144,1,0,,,3,346,0,14188300100
52331189,Fos Residential Apartment - Grand Apartment,423533878,Fos Residential Apartments,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.973667,23.730022,Private room,163,1,0,,,3,340,0,14188300100
52332102,Fos Residential Apartment - Presidential Apartment,423533878,Fos Residential Apartments,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.973652,23.730001,Private room,239,1,0,,,3,311,0,14188300100
52332785,💫Cost duplex apartment at Petralona💫,270118855,Dimitris,,ΠΕΤΡΑΛΩΝΑ,37.97216,23.70966,Entire home/apt,80,3,0,,,1,347,0,1351197
52357706,"Stunning, 1-BDRM APT Next to Metro & Acropolis!",330622463,Spyros,,ΖΑΠΠΕΙΟ,37.967499,23.731388,Entire home/apt,107,1,4,25-10-2021,1.41,31,365,4,1305925
52359449,Maria's home (10 minutes from city centre),310835509,TravelNest,,ΣΕΠΟΛΙΑ,38.00538,23.71711,Entire home/apt,48,1,1,01-11-2021,0.57,3,317,1,576254
52361784,Athens Marble and Glass Oasis  Apt.,48583762,George,,ΚΟΛΩΝΑΚΙ,37.979034,23.740652,Entire home/apt,170,2,3,11-12-2021,1.1,1,26,3,1354740
52380254,Yard,4031168,Yiannis,,ΚΕΡΑΜΕΙΚΟΣ,37.98395,23.71606,Entire home/apt,37,2,2,21-10-2021,0.79,1,161,2,1354899
52394397,Renovated Studio in the heart of Athens,34589267,Δημητρα,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98357,23.75754,Entire home/apt,26,1,7,01-12-2021,2.39,1,336,7,583793
52397141,Noelli. A cozy & modern apartment.,199980374,Ioanna,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98884,23.72696,Entire home/apt,55,2,2,27-10-2021,0.98,1,341,2,1361425
52399873,Brand new apartment with one bedroom next to Metro,1621474,Mint,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99284,23.72999,Entire home/apt,43,1,4,21-11-2021,1.48,82,337,4,591330
52399890,Stylish studio for 2 ppl in Kolonaki,1621474,Mint,,ΚΟΛΩΝΑΚΙ,37.97852,23.74626,Entire home/apt,41,1,1,08-10-2021,0.39,82,352,1,1225638
52418234,"A heart apartment at Skouze Hill, Dirrachiou",240367992,Gpm,,ΣΕΠΟΛΙΑ,38.00362,23.71995,Entire home/apt,41,1,2,17-10-2021,0.68,29,365,2,1352566
52422013,Two Bedrooms Grand Suite G_01,424307898,Leonidas,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.968048,23.730389,Private room,196,1,2,24-10-2021,0.88,5,358,2,1370720
52431455,City Center 10 mins-Metro new renovated room#203,179567445,Gordon,,ΚΥΨΕΛΗ,37.99826,23.73775,Private room,18,2,1,01-10-2021,0.36,8,39,1,1248216
52433777,The Hostmaster Lavish Athenian Treasure,177854704,Emmanuela,,ΙΛΙΣΙΑ,37.97704,23.75415,Entire home/apt,135,1,3,06-11-2021,1.25,13,354,3,1333858
52434125,Evenos Home /24h public transfer to airport & city,424403501,Ioannis,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99078,23.76643,Entire home/apt,40,1,11,19-12-2021,4.23,1,352,11,1356400
52434800,Cozy apartment in Athens,418235586,Chris,,ΝΕΟΣ ΚΟΣΜΟΣ,37.962978,23.72629,Entire home/apt,51,1,14,22-12-2021,5.53,1,70,14,1340900
52435000,Panoulias Apartments,147623541,Panagiotis,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99794,23.72571,Entire home/apt,35,2,0,,,2,296,0,1356441
52436470,"Urban apartment next to Acropolis, Dimitrakopoulou",240367992,Gpm,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96309,23.7194,Entire home/apt,41,1,4,12-11-2021,1.46,29,365,4,1356457
52450417,WSD Hera Lux New 2BD Apt with balcony near Metro,407200868,W.S.D Home Inn,,ΝΙΡΒΑΝΑ,38.00656,23.7248,Entire home/apt,33,1,8,20-12-2021,2.7,19,345,8,Exempt
52451387,Filoξenia in Athens,269559537,Dimi,,ΘΗΣΕΙΟ,37.97399,23.71466,Entire home/apt,40,1,20,07-12-2021,7.06,2,305,20,1356690
